,X1,X2,X3,X4,X5
159,146,3,0.39,0.26,0.59
160,124,4,0.39,0.26,0.59
161,125,5,0.39,0.26,0.59
162,113,6,0.39,0.26,0.59
163,823,1,0.39,0.26,0
164,124,2,0.39,0.26,0
165,145,3,0.39,0.26,0
166,125,4,0.39,0.26,0
167,126,5,0.39,0.26,0
168,114,6,0.39,0.26,0
169,147,1,0.59,0.26,0.14
170,122,2,0.59,0.26,0.14
171,129,3,0.59,0.26,0.14
172,121,4,0.59,0.26,0.14
173,121,5,0.59,0.26,0.14
174,115,6,0.59,0.26,0.14
175,122,1,0.59,0.26,0.39
176,122,2,0.59,0.26,0.39
177,129,3,0.59,0.26,0.39
178,120,4,0.59,0.26,0.39
179,121,5,0.59,0.26,0.39
180,106,6,0.59,0.26,0.39
181,122,1,0.59,0.26,0.59
182,121,2,0.59,0.26,0.59
183,129,3,0.59,0.26,0.59
184,120,4,0.59,0.26,0.59
185,113,5,0.59,0.26,0.59
186,112,6,0.59,0.26,0.59
187,361,1,0.59,0.26,0
188,122,2,0.59,0.26,0
189,129,3,0.59,0.26,0
190,120,4,0.59,0.26,0
191,119,5,0.59,0.26,0
192,108,6,0.59,0.26,0
193,431,1,0.14,0.39,0.14
194,405,2,0.14,0.39,0.14
195,422,3,0.14,0.39,0.14
196,404,4,0.14,0.39,0.14
197,401,5,0.14,0.39,0.14
198,393,6,0.14,0.39,0.14
199,406,1,0.14,0.39,0.39
200,406,2,0.14,0.39,0.39
201,423,3,0.14,0.39,0.39
202,404,4,0.14,0.39,0.39
203,401,5,0.14,0.39,0.39
204,377,6,0.14,0.39,0.39
205,406,1,0.14,0.39,0.59
206,406,2,0.14,0.39,0.59
207,422,3,0.14,0.39,0.59
208,403,4,0.14,0.39,0.59
209,413,5,0.14,0.39,0.59
210,402,6,0.14,0.39,0.59
211,3032,1,0.14,0.39,0
212,405,2,0.14,0.39,0
213,423,3,0.14,0.39,0
214,403,4,0.14,0.39,0
215,402,5,0.14,0.39,0
216,378,6,0.14,0.39,0
217,180,1,0.26,0.39,0.14
218,124,2,0.26,0.39,0.14
219,145,3,0.26,0.39,0.14
220,124,4,0.26,0.39,0.14
221,123,5,0.26,0.39,0.14
222,104,6,0.26,0.39,0.14
223,124,1,0.26,0.39,0.39
224,124,2,0.26,0.39,0.39
225,145,3,0.26,0.39,0.39
226,124,4,0.26,0.39,0.39
227,125,5,0.26,0.39,0.39
228,110,6,0.26,0.39,0.39
229,124,1,0.26,0.39,0.59
230,124,2,0.26,0.39,0.59
231,145,3,0.26,0.39,0.59
232,124,4,0.26,0.39,0.59
233,118,5,0.26,0.39,0.59
234,110,6,0.26,0.39,0.59
235,885,1,0.26,0.39,0
236,124,2,0.26,0.39,0
237,145,3,0.26,0.39,0
238,123,4,0.26,0.39,0
239,126,5,0.26,0.39,0
240,109,6,0.26,0.39,0
241,117,1,0.39,0.39,0.14
242,74,2,0.39,0.39,0.14
243,90,3,0.39,0.39,0.14
244,74,4,0.39,0.39,0.14
245,74,5,0.39,0.39,0.14
246,67,6,0.39,0.39,0.14
247,75,1,0.39,0.39,0.39
248,74,2,0.39,0.39,0.39
249,90,3,0.39,0.39,0.39
250,74,4,0.39,0.39,0.39
251,77,5,0.39,0.39,0.39
252,66,6,0.39,0.39,0.39
253,74,1,0.39,0.39,0.59
254,74,2,0.39,0.39,0.59
255,90,3,0.39,0.39,0.59
256,74,4,0.39,0.39,0.59
257,76,5,0.39,0.39,0.59
258,66,6,0.39,0.39,0.59
259,396,1,0.39,0.39,0
260,74,2,0.39,0.39,0
261,90,3,0.39,0.39,0
262,74,4,0.39,0.39,0
263,75,5,0.39,0.39,0
264,65,6,0.39,0.39,0
265,84,1,0.59,0.39,0.14
266,59,2,0.59,0.39,0.14
267,67,3,0.59,0.39,0.14
268,58,4,0.59,0.39,0.14
269,58,5,0.59,0.39,0.14
270,83,6,0.59,0.39,0.14
271,60,1,0.59,0.39,0.39
272,59,2,0.59,0.39,0.39
273,67,3,0.59,0.39,0.39
274,58,4,0.59,0.39,0.39
275,59,5,0.59,0.39,0.39
276,83,6,0.59,0.39,0.39
277,59,1,0.59,0.39,0.59
278,59,2,0.59,0.39,0.59
279,67,3,0.59,0.39,0.59
280,58,4,0.59,0.39,0.59
281,58,5,0.59,0.39,0.59
282,52,6,0.59,0.39,0.59
283,177,1,0.59,0.39,0
284,59,2,0.59,0.39,0
285,67,3,0.59,0.39,0
286,58,4,0.59,0.39,0
287,60,5,0.59,0.39,0
288,52,6,0.59,0.39,0
289,416,1,0.14,0.59,0.14
290,405,2,0.14,0.59,0.14
291,412,3,0.14,0.59,0.14
292,404,4,0.14,0.59,0.14
293,395,5,0.14,0.59,0.14
294,391,6,0.14,0.59,0.14
295,405,1,0.14,0.59,0.39
296,405,2,0.14,0.59,0.39
297,412,3,0.14,0.59,0.39
298,404,4,0.14,0.59,0.39
299,399,5,0.14,0.59,0.39
300,373,6,0.14,0.59,0.39
301,406,1,0.14,0.59,0.59
302,404,2,0.14,0.59,0.59
303,412,3,0.14,0.59,0.59
304,403,4,0.14,0.59,0.59
305,393,5,0.14,0.59,0.59
306,394,6,0.14,0.59,0.59
307,1558,1,0.14,0.59,0
308,404,2,0.14,0.59,0
309,409,3,0.14,0.59,0
310,404,4,0.14,0.59,0
311,411,5,0.14,0.59,0
312,395,6,0.14,0.59,0
313,154,1,0.26,0.59,0.14
314,121,2,0.26,0.59,0.14
315,128,3,0.26,0.59,0.14
316,119,4,0.26,0.59,0.14
317,119,5,0.26,0.59,0.14
318,113,6,0.26,0.59,0.14
319,121,1,0.26,0.59,0.39
320,121,2,0.26,0.59,0.39
321,128,3,0.26,0.59,0.39
322,119,4,0.26,0.59,0.39
323,119,5,0.26,0.59,0.39
324,115,6,0.26,0.59,0.39
325,121,1,0.26,0.59,0.59
326,121,2,0.26,0.59,0.59
327,127,3,0.26,0.59,0.59
328,119,4,0.26,0.59,0.59
329,116,5,0.26,0.59,0.59
330,117,6,0.26,0.59,0.59
331,453,1,0.26,0.59,0
332,121,2,0.26,0.59,0
333,128,3,0.26,0.59,0
334,119,4,0.26,0.59,0
335,130,5,0.26,0.59,0
336,113,6,0.26,0.59,0
337,88,1,0.39,0.59,0.14
338,58,2,0.39,0.59,0.14
339,66,3,0.39,0.59,0.14
340,57,4,0.39,0.59,0.14
341,60,5,0.39,0.59,0.14
342,53,6,0.39,0.59,0.14
343,59,1,0.39,0.59,0.39
344,58,2,0.39,0.59,0.39
345,66,3,0.39,0.59,0.39
346,57,4,0.39,0.59,0.39
347,60,5,0.39,0.59,0.39
348,51,6,0.39,0.59,0.39
349,58,1,0.39,0.59,0.59
350,58,2,0.39,0.59,0.59
351,66,3,0.39,0.59,0.59
352,57,4,0.39,0.59,0.59
353,59,5,0.39,0.59,0.59
354,50,6,0.39,0.59,0.59
355,205,1,0.39,0.59,0
356,58,2,0.39,0.59,0
357,66,3,0.39,0.59,0
358,57,4,0.39,0.59,0
359,58,5,0.39,0.59,0
360,50,6,0.39,0.59,0
361,52,1,0.59,0.59,0.14
362,36,2,0.59,0.59,0.14
363,41,3,0.59,0.59,0.14
364,35,4,0.59,0.59,0.14
365,36,5,0.59,0.59,0.14
366,31,6,0.59,0.59,0.14
367,38,1,0.59,0.59,0.39
368,36,2,0.59,0.59,0.39
369,41,3,0.59,0.59,0.39
370,35,4,0.59,0.59,0.39
371,37,5,0.59,0.59,0.39
372,36,1,0.59,0.59,0.59
373,36,2,0.59,0.59,0.59
374,41,3,0.59,0.59,0.59
375,35,4,0.59,0.59,0.59
376,38,5,0.59,0.59,0.59
377,33,6,0.59,0.59,0.59
378,92,1,0.59,0.59,0
379,36,2,0.59,0.59,0
380,42,3,0.59,0.59,0
381,35,4,0.59,0.59,0
382,37,5,0.59,0.59,0
383,33,6,0.59,0.59,0
384,33,6,0.59,0.59,0.39
